                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7398,                 3.7119,                 3.2259,                0.24348,                0.16568,                0.09622,                0.04793,                 1.2293,                 3.6583,                 3.2015,             0.00020486,             0.00020486,             0.00020486
                      2,                 1.3867,                 2.9971,                  2.863,                0.20151,                0.51201,                0.17377,                0.09207,                 1.1735,                 2.8495,                 2.9535,             0.00041115,             0.00041115,             0.00041115
                      3,                 1.2682,                 2.6898,                 2.7831,                0.11036,                0.47784,                0.20352,                0.11968,                 1.1665,                 3.2628,                 2.8037,             0.00061537,             0.00061537,             0.00061537
                      4,                 1.2751,                 2.5545,                 2.6593,                0.32403,                0.33003,                 0.2492,                0.16488,                 1.0394,                 2.6496,                 2.7586,             0.00061572,             0.00061572,             0.00061572
                      5,                 1.2203,                 2.4191,                 2.6312,                0.19154,                0.45617,                0.28222,                0.19333,                   1.06,                 2.3527,                 2.6633,             0.00061572,             0.00061572,             0.00061572
                      6,                  1.191,                  2.365,                 2.6526,                0.25586,                0.48481,                0.29432,                0.18147,                 1.1145,                 2.4097,                 2.8011,             0.00061262,             0.00061262,             0.00061262
                      7,                 1.2446,                 2.2981,                 2.7005,                0.19475,                0.41257,                0.29842,                0.18952,                  1.159,                 2.4007,                 2.8869,             0.00060953,             0.00060953,             0.00060953
                      8,                 1.2055,                 2.2102,                 2.6547,                0.21009,                0.42785,                0.31459,                0.20775,                 1.1092,                  2.288,                 2.7233,             0.00060644,             0.00060644,             0.00060644
                      9,                 1.1722,                 2.1567,                 2.6363,                0.18478,                0.45318,                0.29215,                0.19922,                 1.0425,                 2.4215,                 2.6427,             0.00060334,             0.00060334,             0.00060334
                     10,                  1.122,                 2.1263,                 2.6232,                0.28873,                0.38945,                0.33013,                0.22897,                 1.0318,                 2.2897,                 2.6279,             0.00060025,             0.00060025,             0.00060025
                     11,                 1.1158,                 2.0711,                 2.5855,                0.23847,                0.42728,                0.29279,                0.20864,                 1.0272,                  2.333,                 2.5913,             0.00059716,             0.00059716,             0.00059716
                     12,                 1.1091,                 1.9754,                  2.546,                0.33778,                0.38868,                0.35262,                0.23524,                 1.0728,                 2.2347,                 2.6523,             0.00059406,             0.00059406,             0.00059406
                     13,                 1.1321,                  2.041,                 2.6507,                0.25695,                 0.4436,                0.34802,                0.21311,                 1.0734,                 2.2033,                 2.6037,             0.00059097,             0.00059097,             0.00059097
