                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8334,                 3.9075,                  3.362,                0.29695,                0.15044,                0.07108,                0.03483,                 1.3211,                 3.8485,                 3.2988,             0.00010625,             0.00010625,             0.00010625
                      2,                 1.3802,                  3.289,                 2.9644,                0.18778,                0.28095,                0.13648,                0.06679,                 1.1591,                 3.1656,                 3.0209,             0.00021658,             0.00021658,             0.00021658
                      3,                 1.3324,                 2.8367,                 2.8099,                0.15602,                0.26901,                0.17092,                0.10105,                 1.1606,                 2.8211,                 2.8539,             0.00032469,             0.00032469,             0.00032469
                      4,                  1.246,                 2.5618,                  2.682,                 0.2553,                0.28902,                0.20858,                0.13144,                 1.2296,                 2.9082,                 2.9134,             0.00043057,             0.00043057,             0.00043057
                      5,                 1.2301,                 2.4216,                 2.6982,                0.25019,                0.42357,                0.27005,                0.16269,                 1.2329,                 2.7554,                 2.8439,             0.00053422,             0.00053422,             0.00053422
                      6,                 1.1959,                 2.3047,                 2.6364,                0.15471,                0.36905,                0.21852,                0.12418,                 1.1901,                 2.8471,                  2.941,             0.00059406,             0.00059406,             0.00059406
                      7,                 1.1572,                 2.2131,                 2.5441,                0.33848,                0.42325,                0.32722,                0.21162,                  1.168,                 2.3779,                 2.7521,             0.00059406,             0.00059406,             0.00059406
                      8,                 1.1484,                  2.036,                 2.6157,                0.29781,                0.35467,                0.31849,                0.20484,                 1.0379,                  2.383,                 2.6351,             0.00058787,             0.00058787,             0.00058787
                      9,                   1.11,                 1.9476,                 2.5963,                0.41729,                0.29137,                0.31885,                0.20732,                  1.166,                 2.5666,                 2.9051,             0.00058169,             0.00058169,             0.00058169
                     10,                 1.1038,                 1.8801,                 2.5981,                0.28446,                0.40642,                0.33043,                 0.2267,                 1.0587,                 2.3644,                  2.763,              0.0005755,              0.0005755,              0.0005755
                     11,                 1.0313,                 1.8192,                 2.5101,                0.30147,                0.37323,                0.33677,                0.25054,                0.99197,                 2.2866,                 2.6494,             0.00056931,             0.00056931,             0.00056931
                     12,                0.99266,                 1.6358,                  2.403,                0.38002,                0.29239,                0.30199,                0.21521,                 1.0151,                 2.6074,                 2.6847,             0.00056313,             0.00056313,             0.00056313
                     13,                 1.0062,                 1.6787,                 2.5189,                0.29214,                0.42784,                0.32915,                0.23135,                 1.0398,                 2.4624,                 2.6727,             0.00055694,             0.00055694,             0.00055694
                     14,                 1.0292,                 1.6406,                 2.5439,                0.29377,                0.39946,                 0.3138,                0.23004,                 1.0056,                 2.4687,                 2.6115,             0.00055075,             0.00055075,             0.00055075
                     15,                0.98393,                 1.4733,                 2.4473,                0.31319,                0.38376,                0.34733,                0.25675,                0.99174,                 2.4185,                 2.6176,             0.00054456,             0.00054456,             0.00054456
                     16,                0.94948,                 1.4006,                 2.3988,                0.40955,                 0.4316,                0.35865,                0.25456,                 1.0494,                 2.3361,                 2.6553,             0.00053838,             0.00053838,             0.00053838
                     17,                0.96303,                 1.3889,                 2.3901,                0.31243,                0.40664,                0.33563,                0.23509,                  1.162,                 2.3552,                 2.7621,             0.00053219,             0.00053219,             0.00053219
                     18,                0.96948,                 1.4447,                 2.3814,                0.38119,                0.41087,                0.34547,                0.25857,                0.98183,                 2.4268,                  2.548,               0.000526,               0.000526,               0.000526
                     19,                0.97688,                  1.344,                 2.3634,                0.29041,                 0.4252,                0.34012,                 0.2518,                0.98065,                 2.3816,                 2.6256,             0.00051981,             0.00051981,             0.00051981
                     20,                0.95523,                 1.3712,                 2.3956,                0.35126,                0.36461,                0.36731,                0.25953,                0.99483,                 2.3495,                 2.6048,             0.00051363,             0.00051363,             0.00051363
                     21,                0.91246,                 1.3028,                 2.3482,                0.32702,                0.48527,                0.37113,                0.27736,                 0.9666,                 2.3575,                 2.6023,             0.00050744,             0.00050744,             0.00050744
                     22,                0.89714,                 1.2572,                 2.4031,                 0.3657,                0.42135,                0.37803,                0.27392,                 1.0047,                 2.3597,                 2.6002,             0.00050125,             0.00050125,             0.00050125
                     23,                0.94221,                 1.2309,                 2.3854,                0.47315,                0.33293,                0.39303,                0.28027,                0.95612,                 2.2379,                 2.5485,             0.00049506,             0.00049506,             0.00049506
                     24,                0.90287,                 1.1676,                 2.3493,                0.41259,                0.35039,                0.38667,                0.28983,                0.92976,                 2.3116,                 2.5281,             0.00048888,             0.00048888,             0.00048888
                     25,                0.84783,                 1.1107,                 2.3193,                0.47236,                0.32896,                0.37512,                0.27358,                0.97305,                 2.4035,                 2.5527,             0.00048269,             0.00048269,             0.00048269
                     26,                0.88136,                 1.1263,                 2.3582,                0.29135,                0.37999,                0.32382,                0.23077,                  1.062,                 2.6083,                 2.6492,              0.0004765,              0.0004765,              0.0004765
                     27,                0.85576,                 1.0986,                 2.3583,                0.30094,                0.44637,                0.35797,                0.26442,                 1.0151,                 2.3943,                 2.6146,             0.00047031,             0.00047031,             0.00047031
                     28,                0.90396,                 1.0921,                 2.3166,                0.35843,                0.40175,                 0.3719,                0.28034,                0.94823,                 2.3684,                  2.574,             0.00046413,             0.00046413,             0.00046413
                     29,                0.83961,                 1.0601,                 2.3614,                 0.4426,                 0.3619,                0.38812,                0.28182,                0.92555,                 2.3059,                 2.5453,             0.00045794,             0.00045794,             0.00045794
                     30,                0.81386,                0.99348,                 2.2768,                0.36398,                0.39585,                0.35476,                0.26798,                0.98693,                 2.4946,                 2.5991,             0.00045175,             0.00045175,             0.00045175
                     31,                0.85025,                 1.0188,                 2.2909,                0.38991,                0.41093,                0.38465,                0.28114,                 1.0401,                 2.3385,                 2.6939,             0.00044556,             0.00044556,             0.00044556
                     32,                0.83683,                 1.0381,                 2.3007,                0.35217,                0.44746,                0.38341,                0.27852,                  1.044,                 2.3878,                 2.6269,             0.00043937,             0.00043937,             0.00043937
                     33,                0.82958,                 1.0175,                 2.2849,                 0.4414,                0.36587,                0.38202,                0.28302,                 1.0019,                   2.35,                 2.5969,             0.00043319,             0.00043319,             0.00043319
                     34,                0.81475,                0.97358,                 2.2834,                 0.3865,                0.38112,                0.36867,                0.26911,                 1.0202,                 2.4098,                 2.6218,               0.000427,               0.000427,               0.000427
                     35,                0.80595,                0.93471,                 2.2371,                0.41109,                0.36477,                0.39312,                0.29358,                 1.0339,                 2.3385,                 2.6365,             0.00042081,             0.00042081,             0.00042081
                     36,                0.77382,                0.93894,                 2.1851,                0.48598,                0.43295,                0.43406,                0.31898,                0.94164,                 2.2754,                 2.5621,             0.00041462,             0.00041462,             0.00041462
                     37,                0.78464,                0.92177,                 2.2293,                0.44746,                0.42173,                0.40963,                0.30653,                0.97368,                 2.4226,                 2.5608,             0.00040844,             0.00040844,             0.00040844
                     38,                0.77077,                0.93668,                 2.2382,                 0.4133,                0.43321,                0.40395,                0.28987,                  1.027,                 2.2406,                 2.5961,             0.00040225,             0.00040225,             0.00040225
                     39,                0.75719,                0.87791,                 2.2433,                0.39831,                0.45516,                0.41885,                0.31008,                 1.0172,                 2.2425,                 2.6083,             0.00039606,             0.00039606,             0.00039606
                     40,                0.79008,                0.91477,                 2.2378,                0.44802,                0.39832,                 0.3952,                0.29699,                0.99499,                 2.4227,                 2.6258,             0.00038988,             0.00038988,             0.00038988
                     41,                0.77537,                0.92243,                 2.2837,                0.31557,                0.46805,                0.39919,                0.31168,                 0.9724,                 2.2198,                 2.5477,             0.00038369,             0.00038369,             0.00038369
                     42,                0.76132,                0.86839,                 2.2276,                0.42534,                  0.297,                0.35816,                 0.2714,                0.98364,                 2.4398,                 2.5694,              0.0003775,              0.0003775,              0.0003775
                     43,                0.78081,                0.93123,                 2.2671,                0.45264,                0.31767,                 0.3978,                0.29543,                 1.0557,                 2.2684,                 2.6326,             0.00037131,             0.00037131,             0.00037131
                     44,                0.78399,                0.86596,                 2.2117,                0.33638,                0.42608,                0.38484,                0.29189,                0.93785,                 2.3122,                 2.5965,             0.00036513,             0.00036513,             0.00036513
                     45,                0.74573,                0.83104,                 2.2115,                0.33314,                0.40832,                0.36528,                0.27633,                0.96044,                 2.3832,                 2.6023,             0.00035894,             0.00035894,             0.00035894
                     46,                0.73702,                0.83972,                 2.2315,                0.42315,                0.32305,                0.36726,                0.28326,                 1.0065,                 2.3734,                 2.6303,             0.00035275,             0.00035275,             0.00035275
                     47,                0.76332,                0.82693,                 2.2472,                0.48549,                0.31385,                0.37406,                0.27192,                  1.084,                 2.3418,                 2.7262,             0.00034656,             0.00034656,             0.00034656
                     48,                0.74778,                0.81882,                 2.2281,                0.48078,                0.34145,                 0.3955,                0.29106,                 1.0464,                 2.2393,                 2.6334,             0.00034038,             0.00034038,             0.00034038
                     49,                0.73147,                0.79208,                 2.2134,                0.34305,                 0.4415,                0.39792,                0.30385,                0.94541,                 2.4152,                 2.5955,             0.00033419,             0.00033419,             0.00033419
                     50,                0.72322,                0.79272,                 2.2193,                 0.4241,                0.38314,                0.43229,                0.33443,                0.96732,                 2.2439,                 2.5528,               0.000328,               0.000328,               0.000328
                     51,                0.72239,                0.80078,                 2.2035,                0.45404,                0.33834,                0.41835,                0.32052,                 1.0445,                 2.3146,                 2.6284,             0.00032181,             0.00032181,             0.00032181
                     52,                0.72107,                0.81423,                 2.2143,                0.46331,                 0.3989,                0.40747,                0.31143,                 1.0421,                  2.329,                 2.6147,             0.00031562,             0.00031562,             0.00031562
                     53,                0.71835,                  0.782,                 2.1888,                 0.4231,                0.33394,                 0.4105,                0.31865,                 1.0218,                 2.3073,                 2.6595,             0.00030944,             0.00030944,             0.00030944
                     54,                0.67812,                0.73269,                 2.1378,                0.48344,                0.35561,                 0.4014,                0.31178,                0.96432,                 2.3207,                 2.5723,             0.00030325,             0.00030325,             0.00030325
                     55,                0.72748,                0.76884,                 2.2419,                0.34957,                0.40863,                0.38806,                0.30621,                0.93563,                 2.3642,                 2.5299,             0.00029706,             0.00029706,             0.00029706
                     56,                 0.7101,                0.75905,                 2.2462,                0.39598,                0.39989,                0.39092,                0.29287,                 1.0198,                 2.3032,                 2.5987,             0.00029088,             0.00029088,             0.00029088
                     57,                0.68061,                0.74321,                 2.1563,                0.41161,                0.43652,                0.37552,                0.28368,                 1.0054,                 2.4386,                 2.6215,             0.00028469,             0.00028469,             0.00028469
                     58,                0.69804,                 0.7382,                 2.1865,                0.39002,                0.43254,                 0.4067,                 0.3021,                 0.9902,                 2.3643,                 2.5964,              0.0002785,              0.0002785,              0.0002785
                     59,                0.69174,                0.72729,                 2.1443,                0.38539,                0.41292,                0.39388,                0.29895,                0.97621,                 2.3669,                 2.6092,             0.00027231,             0.00027231,             0.00027231
                     60,                0.67839,                0.70836,                 2.1609,                0.48788,                0.38075,                0.40615,                0.31765,                0.95595,                 2.2322,                 2.5395,             0.00026613,             0.00026613,             0.00026613
                     61,                0.66652,                0.66918,                 2.2146,                0.41202,                0.44302,                0.42563,                0.33022,                0.94839,                 2.1786,                 2.5556,             0.00025994,             0.00025994,             0.00025994
                     62,                0.67895,                0.69415,                 2.1775,                0.35716,                0.40355,                0.42158,                0.33682,                0.92463,                 2.1783,                 2.5037,             0.00025375,             0.00025375,             0.00025375
                     63,                 0.6325,                0.67399,                 2.1568,                0.36748,                0.44477,                0.41242,                0.32694,                0.94082,                 2.2268,                 2.5286,             0.00024756,             0.00024756,             0.00024756
                     64,                0.66673,                 0.7064,                 2.1554,                0.39146,                0.40361,                 0.4046,                0.31834,                0.97178,                 2.2692,                 2.6153,             0.00024137,             0.00024137,             0.00024137
                     65,                0.65712,                0.68587,                  2.177,                0.43255,                  0.344,                0.41125,                0.31781,                0.99068,                 2.2538,                 2.6351,             0.00023519,             0.00023519,             0.00023519
                     66,                0.64838,                0.67275,                 2.1062,                0.35969,                0.39437,                0.39734,                0.29534,                0.97873,                 2.4535,                 2.6256,               0.000229,               0.000229,               0.000229
                     67,                0.64213,                0.69532,                 2.1052,                0.43214,                0.32644,                0.39875,                0.30541,                0.96691,                  2.289,                   2.62,             0.00022281,             0.00022281,             0.00022281
                     68,                0.62632,                0.65369,                 2.1521,                0.36888,                0.41089,                0.40278,                0.31259,                 1.0234,                 2.3344,                 2.6619,             0.00021662,             0.00021662,             0.00021662
                     69,                0.63032,                0.65588,                 2.1986,                0.37208,                0.41414,                0.40574,                 0.3054,                 1.0215,                 2.3352,                 2.6361,             0.00021044,             0.00021044,             0.00021044
